Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
MD9X2DM9,Laptop,Clothing,Product_2U6VW,54.74,70,2,12x5x15 cm,30-07-2023,01-01-2025,SSU8UA,"I36,KQU",Green/Large,5
T2EXB02K,Laptop,Electronics,Product_T4OXC,351.61,34,3,17x16x10 cm,30-07-2023,01-01-2024,ES4G4Z,"W92,ENT",Blue/Medium,2
PSARFFC3,Headphones,Home Appliances,Product_7CES6,288.22,31,3,13x6x20 cm,30-07-2023,01-01-2026,ARY995,"X3Z,0TD",Green/Large,2
SZZ2L6KZ,Smartphone,Electronics,Product_ETENG,229.29,60,1,20x7x10 cm,15-03-2023,01-01-2025,1LHNV3,"Q1X,L3U",Green/Large,1
EGGNE38C,Laptop,Home Appliances,Product_0YLY1,104.94,38,3,11x14x20 cm,30-07-2023,01-01-2026,DTHJ5C,"9MW,X6D",Blue/Medium,2
R883QG6N,Smartphone,Clothing,Product_J78NP,295.83,93,1,14x20x13 cm,30-07-2023,01-01-2025,3D13EW,"JBZ,VQU",Red/Small,4
7C9N81YI,Smartphone,Home Appliances,Product_QYV99,219.17,73,2,20x13x11 cm,15-03-2023,01-01-2026,JVCL9V,"LN3,JH2",Green/Large,5
W40WLEVX,Smartphone,Home Appliances,Product_6960T,350.75,9,1,20x18x5 cm,15-03-2023,01-01-2026,9SV8TM,"6MD,IYB",Red/Small,5
ZFP9DD9S,Laptop,Electronics,Product_YDGWG,290.19,12,3,6x11x10 cm,01-01-2023,01-01-2025,YP3DRD,"MC7,F9M",Red/Small,4
YTFM1TLG,Smartphone,Clothing,Product_XDVMX,286.13,12,1,18x15x8 cm,01-01-2023,01-01-2025,RDLJXU,"T38,0YK",Blue/Medium,1
9WASF2FG,Headphones,Electronics,Product_2T1SC,47.97,78,2,16x19x10 cm,15-03-2023,01-01-2025,Z1DB9P,"OMY,RB7",Red/Small,4
072YJ88D,Monitor,Electronics,Product_YGWBQ,237.65,17,2,19x17x9 cm,01-01-2023,01-01-2025,H8L1EL,"P8U,4K8",Green/Large,2
RITV0KVC,Smartphone,Home Appliances,Product_02HGF,70.36,22,3,10x11x6 cm,01-01-2023,01-01-2024,9QTVVT,"UTP,236",Blue/Medium,5
VLWYYV8I,Monitor,Home Appliances,Product_DWHEI,301.6,19,3,19x19x11 cm,01-01-2023,01-01-2026,3ZVH4S,"UHO,8H4",Red/Small,3
UYVN4O3Q,Smartphone,Clothing,Product_LOS8T,326.9,4,2,11x18x12 cm,01-01-2023,01-01-2024,GPJ95Q,"ZQG,NEJ",Blue/Medium,1
PPZ92SX1,Headphones,Home Appliances,Product_8PT7C,294.27,82,1,18x7x19 cm,15-03-2023,01-01-2024,ERADEP,"6IP,D7M",Red/Small,1
SABM8LEI,Laptop,Clothing,Product_7C9YL,435.44,80,3,9x16x13 cm,01-01-2023,01-01-2025,0951W9,"OID,03V",Blue/Medium,4
0UW0I7QB,Headphones,Electronics,Product_3HE4J,182.28,91,1,18x6x20 cm,30-07-2023,01-01-2025,MSSQW6,"EO2,IFV",Red/Small,4
UZE502DG,Smartphone,Clothing,Product_B3RPF,81.84,3,1,18x19x11 cm,30-07-2023,01-01-2024,N5M2U1,"31V,Y6Z",Red/Small,1
JVI2AYRU,Monitor,Home Appliances,Product_BVRA8,335.32,5,3,6x16x18 cm,30-07-2023,01-01-2025,9FBJ15,"AMU,YUQ",Blue/Medium,2
6R90T0E6,Headphones,Electronics,Product_S72LQ,374.34,100,1,19x20x13 cm,01-01-2023,01-01-2025,104MIG,"BIN,JG9",Green/Large,3
810UM0U6,Headphones,Home Appliances,Product_YC7YB,376.21,66,3,17x20x19 cm,30-07-2023,01-01-2025,87CNYS,"Y3B,3EK",Red/Small,4
O9GTADB0,Smartphone,Home Appliances,Product_N3BKC,182,56,1,9x16x6 cm,15-03-2023,01-01-2024,XZNI0B,"F5Y,0ZZ",Red/Small,3
LXHQOFCN,Monitor,Electronics,Product_GXQ2E,273.05,77,1,18x10x9 cm,15-03-2023,01-01-2024,6XLACY,"0UU,VGT",Blue/Medium,5
Y9QHCTQZ,Laptop,Home Appliances,Product_5FZC0,96.48,87,2,8x14x6 cm,01-01-2023,01-01-2024,BN0KYU,"NB1,YRZ",Green/Large,2
DDZIZC66,Headphones,Home Appliances,Product_8IHB6,269.44,15,3,19x19x11 cm,01-01-2023,01-01-2025,N5EPC1,"RJU,J3I",Red/Small,3
LP0L8LH6,Headphones,Home Appliances,Product_J9GBI,483.93,22,2,5x20x10 cm,01-01-2023,01-01-2025,LFKHXR,"QV4,LZO",Blue/Medium,2
L62IBC3E,Monitor,Clothing,Product_Y160Z,112.07,93,1,11x15x14 cm,15-03-2023,01-01-2026,FWUVI3,"KN5,HZM",Blue/Medium,1
4XRLB4LH,Headphones,Clothing,Product_3J8SN,118.5,7,2,19x13x7 cm,01-01-2023,01-01-2025,W6JNUP,"DE3,BBD",Red/Small,3
958HYXJW,Smartphone,Home Appliances,Product_9HMRD,381.08,13,2,16x5x12 cm,30-07-2023,01-01-2024,F0ASMP,"8QK,DMS",Green/Large,5
SNDKWGHQ,Headphones,Clothing,Product_DUXYG,465.65,72,3,11x20x11 cm,15-03-2023,01-01-2025,UY4Y98,"F8U,26B",Red/Small,2
6J5NNB29,Smartphone,Clothing,Product_I4OAD,334.23,57,1,20x20x8 cm,30-07-2023,01-01-2024,TH2FJA,"SN2,PHA",Red/Small,5
LUH1HGOP,Smartphone,Clothing,Product_MKSSG,380.28,22,1,18x14x19 cm,15-03-2023,01-01-2024,54AD8Y,"S04,B98",Green/Large,5
NF4BO3L2,Laptop,Home Appliances,Product_U2971,106.2,10,1,17x11x6 cm,01-01-2023,01-01-2025,PARURP,"4RF,R7H",Green/Large,3
XSFOC2GH,Headphones,Home Appliances,Product_G0C44,192.46,62,1,11x12x7 cm,30-07-2023,01-01-2024,XSU1PX,"9VJ,5YC",Green/Large,2
2U06C9A9,Smartphone,Clothing,Product_OP5PC,428.07,6,2,6x9x13 cm,15-03-2023,01-01-2025,H8Q4T3,"UM6,FT3",Red/Small,3
4QME9INE,Smartphone,Home Appliances,Product_RAAW8,162.96,78,3,8x13x13 cm,01-01-2023,01-01-2026,133KKI,"9EM,ZAR",Green/Large,1
TECGF9UG,Monitor,Home Appliances,Product_7U9AW,257.57,94,2,5x17x5 cm,30-07-2023,01-01-2024,Q92CV3,"53I,TUG",Blue/Medium,2
VWUKQJ0F,Headphones,Home Appliances,Product_ED4DU,129.35,18,3,14x16x6 cm,30-07-2023,01-01-2025,EBGLO1,"XQG,E2I",Green/Large,1
M752JGGO,Smartphone,Clothing,Product_CL5TC,450.42,5,2,13x5x19 cm,01-01-2023,01-01-2024,X2PN8N,"MX9,GVJ",Red/Small,2
975MFIZX,Smartphone,Home Appliances,Product_PQJOD,349.41,52,1,16x18x12 cm,30-07-2023,01-01-2025,QDXHLE,"L08,EX2",Green/Large,2
9E0H1TH2,Monitor,Electronics,Product_9QATE,232.34,4,2,6x20x5 cm,30-07-2023,01-01-2024,LW63I9,"52Y,NL5",Blue/Medium,5
L5IEUQAP,Headphones,Home Appliances,Product_79X2O,286.39,2,3,15x15x13 cm,30-07-2023,01-01-2024,GLZ9C6,"IP7,UDN",Blue/Medium,4
T95O6JOO,Laptop,Clothing,Product_KBG4D,98.85,62,3,20x8x14 cm,15-03-2023,01-01-2026,LICTER,"MP3,Q0H",Green/Large,4
E0LI0VPT,Laptop,Home Appliances,Product_REJY4,301.01,23,2,5x13x10 cm,15-03-2023,01-01-2026,CTW2WQ,"LET,0YC",Green/Large,5
6YMKIR0O,Headphones,Clothing,Product_QR9HL,67.16,52,3,17x9x19 cm,30-07-2023,01-01-2025,IE3PF5,"NWI,CSD",Green/Large,2
JIMUV8BL,Monitor,Home Appliances,Product_PA5ER,415.07,77,3,17x18x8 cm,15-03-2023,01-01-2026,RH9MB3,"0FR,7TW",Blue/Medium,5
M9294N5E,Headphones,Electronics,Product_Q8B76,183.78,8,2,17x8x7 cm,15-03-2023,01-01-2024,9GR1M4,"3DP,PHZ",Red/Small,1
ZVD39C5S,Monitor,Home Appliances,Product_VKZ84,429.73,61,2,16x18x7 cm,30-07-2023,01-01-2026,PF8922,"681,CJ8",Green/Large,4
2N652K84,Headphones,Clothing,Product_K3BMD,32.11,100,2,6x16x19 cm,01-01-2023,01-01-2024,TGI4XF,"Y7F,AN1",Green/Large,1
H74BTK29,Laptop,Electronics,Product_XEB5C,353.67,15,2,10x19x13 cm,15-03-2023,01-01-2024,W456L7,"42Q,PQ3",Blue/Medium,3
J7EYL5XC,Laptop,Home Appliances,Product_GKDM3,422.58,62,1,13x17x16 cm,01-01-2023,01-01-2024,Q3J5M8,"02U,UDA",Blue/Medium,5
3E4UP7NS,Monitor,Home Appliances,Product_LQZAI,400.25,1,3,7x17x11 cm,15-03-2023,01-01-2024,AEYG04,"JNQ,XEI",Green/Large,2
YTKT5RP2,Headphones,Electronics,Product_0Z5W0,149.13,2,2,15x18x16 cm,30-07-2023,01-01-2024,2ZGUW7,"5GV,2I4",Red/Small,2
95LBUUXV,Smartphone,Electronics,Product_NV75R,455.23,95,2,17x12x9 cm,30-07-2023,01-01-2025,XE8TCE,"HWM,221",Green/Large,2
6TBEVMGX,Laptop,Clothing,Product_A6HB0,464.97,47,1,16x15x10 cm,15-03-2023,01-01-2024,JBBNG0,"O1T,ZK1",Green/Large,1
4ATWGKDD,Laptop,Clothing,Product_WJPD3,76.53,40,1,13x12x18 cm,30-07-2023,01-01-2026,TT9OPM,"LU3,LMQ",Red/Small,5
1A5PW78S,Headphones,Home Appliances,Product_QU5T3,378.35,33,2,9x6x16 cm,15-03-2023,01-01-2026,OA4HKG,"DLX,P88",Blue/Medium,3
7AO7I49Z,Laptop,Electronics,Product_8PNRQ,26.41,88,2,13x12x19 cm,15-03-2023,01-01-2024,CQRZ39,"KOT,FZW",Blue/Medium,2
VCM9ORW5,Laptop,Electronics,Product_DM5DZ,371.93,75,2,13x18x12 cm,30-07-2023,01-01-2024,WUT81E,"3WB,FMO",Green/Large,5
THIID53H,Laptop,Electronics,Product_DRTRU,269.91,82,2,19x20x17 cm,15-03-2023,01-01-2024,D7W1HJ,"LSF,AVT",Red/Small,3
5MWO7Z7C,Headphones,Electronics,Product_ETFOK,458.62,99,1,8x10x12 cm,01-01-2023,01-01-2026,J6SQYR,"Z3E,4QM",Green/Large,3
LE50WT2Y,Monitor,Clothing,Product_DGC93,422.52,20,2,19x12x8 cm,30-07-2023,01-01-2025,LGLOWT,"9NR,J65",Blue/Medium,3
FM98KGTW,Laptop,Home Appliances,Product_T8B2H,255.13,47,1,9x8x14 cm,30-07-2023,01-01-2025,AG5TZG,"8BF,CFA",Green/Large,5
BU7SNFBH,Laptop,Clothing,Product_2OY21,355.65,42,3,5x5x5 cm,30-07-2023,01-01-2024,UBJRVP,"M40,ORY",Blue/Medium,5
LNRC94OL,Smartphone,Clothing,Product_1QFAH,67.99,75,1,20x8x20 cm,01-01-2023,01-01-2024,I6UZVV,"A60,Z0X",Blue/Medium,4
DWUMRRFA,Monitor,Clothing,Product_PTSSE,472.71,35,3,16x19x7 cm,01-01-2023,01-01-2026,M32761,"K6J,YX5",Green/Large,2
DJM0EON7,Headphones,Clothing,Product_RQEGF,477.1,70,2,7x5x6 cm,30-07-2023,01-01-2024,LR08BF,"O2I,BRN",Red/Small,2
O9VVNO3T,Headphones,Home Appliances,Product_JL19K,147.72,19,3,18x16x14 cm,01-01-2023,01-01-2025,B2C3F6,"P0P,4PN",Red/Small,2
QK4HP3JV,Headphones,Home Appliances,Product_2MI9A,71,46,3,6x13x16 cm,15-03-2023,01-01-2024,6KRJ68,"NVM,E4R",Red/Small,1
89LVTHKN,Monitor,Clothing,Product_WNTBA,239.11,93,3,20x8x19 cm,30-07-2023,01-01-2025,FB9NFU,"3H7,YTP",Green/Large,4
QXZ6WMJK,Headphones,Clothing,Product_CQ920,336.99,60,3,18x8x19 cm,30-07-2023,01-01-2026,NWEAH7,"65M,3EU",Red/Small,1
JGV657OX,Smartphone,Electronics,Product_89GW1,318.06,14,2,11x9x8 cm,15-03-2023,01-01-2025,6U1H2O,"XD4,KZJ",Red/Small,1
S6OPGDBK,Headphones,Clothing,Product_RRHMK,467.26,9,1,18x17x9 cm,15-03-2023,01-01-2025,DSBB3G,"U21,3RT",Blue/Medium,3
3TR3PTKZ,Smartphone,Clothing,Product_WNNCE,179.31,52,2,10x19x6 cm,15-03-2023,01-01-2026,RSRKPM,"2RQ,2R9",Red/Small,2
J4RSH1H5,Headphones,Home Appliances,Product_LA4ZA,476.55,8,3,19x8x17 cm,01-01-2023,01-01-2024,F0PC05,"94X,ODQ",Green/Large,2
9MFOCZL7,Headphones,Home Appliances,Product_TV7N9,280.53,58,2,16x10x10 cm,15-03-2023,01-01-2024,VIIXKI,"A7C,A27",Blue/Medium,1
KHY2UKTI,Headphones,Electronics,Product_TT7W0,456.14,19,3,14x10x14 cm,01-01-2023,01-01-2025,OUIO9S,"7BH,PN1",Red/Small,2
N017EH01,Laptop,Electronics,Product_MM1PU,428.94,12,3,8x20x5 cm,30-07-2023,01-01-2024,YZZFRP,"5MP,SYI",Blue/Medium,4
8W1RN4O7,Monitor,Home Appliances,Product_HEVX3,236.64,22,3,16x11x14 cm,01-01-2023,01-01-2026,APX84Y,"Q5B,KV0",Red/Small,3
4CM0WHY5,Headphones,Clothing,Product_5EYIK,47.48,82,2,13x15x14 cm,01-01-2023,01-01-2024,AWH305,"L2V,7YD",Green/Large,1
ZSDW96V7,Smartphone,Clothing,Product_977ZY,122.33,71,1,14x19x5 cm,15-03-2023,01-01-2024,N9E5TJ,"NUK,UNP",Red/Small,2
XF7HAFWN,Laptop,Home Appliances,Product_6OAEX,145.32,45,1,19x16x15 cm,30-07-2023,01-01-2024,TD27CM,"ZY5,YE4",Blue/Medium,4
VPC7CBOT,Laptop,Electronics,Product_POFGY,376.04,96,1,18x10x17 cm,15-03-2023,01-01-2026,7J6LEM,"185,N0I",Blue/Medium,2
676V2R4C,Laptop,Home Appliances,Product_X2QZM,30.25,1,3,13x12x9 cm,30-07-2023,01-01-2026,EI63Q9,"JF1,VV4",Blue/Medium,2
GSFFE01E,Monitor,Home Appliances,Product_JCU5E,357.06,41,2,13x13x20 cm,15-03-2023,01-01-2024,1M683X,"YXS,1NL",Blue/Medium,1
PDQ0T8YI,Headphones,Clothing,Product_0N1VF,360.71,50,1,16x18x19 cm,30-07-2023,01-01-2025,32J1R9,"4A8,EWW",Blue/Medium,4
9RZ3BWBW,Monitor,Home Appliances,Product_XXL56,152.34,33,3,17x16x11 cm,30-07-2023,01-01-2026,N4346S,"QP3,HQD",Blue/Medium,1
TY8MDLX4,Laptop,Electronics,Product_L1F79,239.34,88,1,8x15x9 cm,01-01-2023,01-01-2024,ROATTW,"RXK,8LG",Green/Large,1
IQGW92KP,Smartphone,Home Appliances,Product_IJQ84,311.84,6,1,10x19x7 cm,30-07-2023,01-01-2026,FHI0J7,"XSQ,D5C",Green/Large,5
U4YF033T,Headphones,Electronics,Product_EGGX5,411.02,74,3,13x14x5 cm,30-07-2023,01-01-2025,9EUH6W,"X2G,45L",Green/Large,1
4XZN8KAN,Laptop,Clothing,Product_6KU0T,14.87,42,2,6x14x11 cm,01-01-2023,01-01-2026,871K78,"EA6,OCD",Green/Large,4
FN9X0U6S,Smartphone,Electronics,Product_I8YJ5,188.14,86,1,7x8x17 cm,30-07-2023,01-01-2024,8MKGK2,"JFN,TGM",Blue/Medium,3
COOSH751,Monitor,Clothing,Product_B154Q,202.58,73,3,6x17x14 cm,01-01-2023,01-01-2025,0F6YN9,"JJH,1Y3",Red/Small,5
STFVU08I,Smartphone,Electronics,Product_VBUVE,82.5,62,2,16x16x10 cm,15-03-2023,01-01-2026,JO4A5R,"649,TKL",Red/Small,3
RP4DIB5N,Smartphone,Clothing,Product_DCY4C,355.81,47,3,11x10x6 cm,30-07-2023,01-01-2026,RQVYWW,"KNV,442",Green/Large,1
YX20MI05,Smartphone,Clothing,Product_FX92G,251.52,83,3,11x12x19 cm,15-03-2023,01-01-2026,E35SWA,"S49,P2A",Green/Large,4
19SAWH1L,Laptop,Electronics,Product_ICLN8,142.25,46,3,16x15x19 cm,15-03-2023,01-01-2026,X8WUUH,"FO3,QSX",Blue/Medium,3
9WVTPZXA,Laptop,Electronics,Product_OHB9C,133.98,24,2,12x13x12 cm,01-01-2023,01-01-2024,4IWZCY,"DDU,9S2",Blue/Medium,3
YDSXDR32,Laptop,Electronics,Product_E79AC,296.7,23,2,5x13x17 cm,01-01-2023,01-01-2026,0CDUJC,"UEV,YYM",Blue/Medium,4
SU6KNXTU,Headphones,Electronics,Product_VOKMA,83.39,21,1,15x10x12 cm,15-03-2023,01-01-2024,1FYAQX,"37D,O89",Red/Small,3
GMGQKSFF,Monitor,Clothing,Product_IV9F5,258.71,45,2,7x11x20 cm,30-07-2023,01-01-2024,6ICGDN,"HMU,WZJ",Red/Small,4
E9JUF3U5,Headphones,Home Appliances,Product_GZH0W,410.76,48,2,20x12x13 cm,30-07-2023,01-01-2024,QKL6BZ,"QYV,QAU",Green/Large,4
YSRQ6NZU,Smartphone,Electronics,Product_G2RVE,89.79,95,1,16x19x19 cm,15-03-2023,01-01-2026,GQF5F6,"JVP,KD1",Red/Small,3
T1PSU1OL,Monitor,Clothing,Product_SJKN0,468.67,41,2,11x12x5 cm,15-03-2023,01-01-2026,P57TUZ,"BQK,EQ5",Blue/Medium,1
9YTT20IB,Headphones,Clothing,Product_Y3HXE,112.83,41,3,11x12x16 cm,30-07-2023,01-01-2026,5Z5II9,"Z0W,W7G",Blue/Medium,5
RKXSWRLP,Headphones,Clothing,Product_1KZ5K,330.95,15,1,12x5x19 cm,30-07-2023,01-01-2025,LZN5TW,"PTE,JE6",Green/Large,3
9FT0FCXK,Monitor,Clothing,Product_RVIYY,21.18,25,1,5x14x5 cm,01-01-2023,01-01-2026,7A523R,"023,5Q9",Green/Large,5
DCLH9XED,Laptop,Home Appliances,Product_2QWV8,451.97,37,1,7x14x11 cm,01-01-2023,01-01-2024,Z1NCP7,"M80,KNW",Blue/Medium,3
C57KEKP1,Laptop,Clothing,Product_UIZJ1,432.77,73,1,15x7x8 cm,01-01-2023,01-01-2024,QU7MI3,"J8O,S6C",Red/Small,2
4B7GMAY4,Laptop,Home Appliances,Product_LFKBC,480.13,24,2,11x11x12 cm,15-03-2023,01-01-2026,3V3Y38,"OW9,O3R",Green/Large,5
GF0IT7WH,Monitor,Electronics,Product_7W9HQ,294.11,43,2,9x6x7 cm,30-07-2023,01-01-2024,DMZBLI,"EWB,IHL",Red/Small,5
BHG0VN4I,Smartphone,Home Appliances,Product_MS0Y0,120.32,26,3,10x18x10 cm,30-07-2023,01-01-2025,T2SEOK,"LZ1,YYY",Blue/Medium,1
X5XQZQ5R,Laptop,Clothing,Product_WKI1I,46.99,86,2,7x17x9 cm,30-07-2023,01-01-2025,Z00J8E,"2J6,6L8",Red/Small,3
6SSUZ2OI,Headphones,Clothing,Product_H3RLU,243.13,66,2,7x5x9 cm,01-01-2023,01-01-2025,BHQZ1S,"JYC,CB8",Red/Small,4
X8J1HA7I,Headphones,Home Appliances,Product_MYBG1,152.54,41,1,9x16x14 cm,15-03-2023,01-01-2025,21EO1T,"4JT,HSB",Green/Large,5
MJUF3DAG,Monitor,Electronics,Product_0390A,118.58,62,3,11x14x7 cm,15-03-2023,01-01-2026,L16MI8,"92K,7LJ",Red/Small,2
18QRVO6C,Monitor,Home Appliances,Product_8RW0P,145.1,98,3,15x19x12 cm,15-03-2023,01-01-2026,MF4OPB,"XYI,89I",Green/Large,2
9Y08Y9E0,Laptop,Clothing,Product_ZVSPA,235.3,62,2,10x9x8 cm,30-07-2023,01-01-2025,6OBY23,"T37,DOC",Green/Large,5
ETTKJ9ZR,Headphones,Electronics,Product_JPCBG,464.58,61,1,17x7x19 cm,01-01-2023,01-01-2026,42B1RV,"WFU,AJ6",Blue/Medium,5
FQGLF6OO,Headphones,Clothing,Product_LVFL5,138.48,52,2,18x6x13 cm,01-01-2023,01-01-2024,UFEK7G,"E8C,0VI",Red/Small,4
O2MXF8IQ,Laptop,Home Appliances,Product_I7IFL,20.9,61,1,5x10x6 cm,15-03-2023,01-01-2026,V1FRTQ,"OEB,LDU",Red/Small,1
7KXQXL51,Smartphone,Electronics,Product_9WBVP,428.14,1,3,8x20x17 cm,15-03-2023,01-01-2026,C881MB,"FTW,HB4",Red/Small,4
6PG301HF,Laptop,Home Appliances,Product_ALCEJ,162.56,51,2,11x17x18 cm,30-07-2023,01-01-2025,TL3EV3,"O1W,F5I",Blue/Medium,5
406CLIWZ,Smartphone,Home Appliances,Product_A6LOV,90.37,73,2,7x20x8 cm,30-07-2023,01-01-2024,S0NVWG,"SVU,KUB",Red/Small,3
YN96ICPB,Laptop,Electronics,Product_YLM13,465.68,100,3,12x13x16 cm,01-01-2023,01-01-2025,GWZT40,"9AF,9NB",Blue/Medium,4
7FU74IMF,Laptop,Home Appliances,Product_ZHRCC,115.08,88,2,12x8x10 cm,01-01-2023,01-01-2024,ET3JEC,"ZGD,DU4",Green/Large,3
9J0RA181,Monitor,Electronics,Product_WSE5Q,154.01,95,2,12x5x20 cm,15-03-2023,01-01-2026,LQTS1D,"ZOC,JG2",Green/Large,4
YWS54ZGS,Smartphone,Clothing,Product_H0G19,312.98,70,3,16x19x19 cm,30-07-2023,01-01-2025,AIF32C,"E8Y,IOV",Green/Large,4
EKJO41I9,Monitor,Clothing,Product_XPTFI,266.33,29,3,10x11x19 cm,01-01-2023,01-01-2026,E70QE0,"OXO,TU4",Green/Large,1
29QQVP2V,Laptop,Electronics,Product_NEGDQ,481.67,96,3,6x13x20 cm,30-07-2023,01-01-2025,VBSWYY,"ELQ,3L1",Red/Small,4
QZ3BBVZO,Headphones,Electronics,Product_3PM6Z,355.59,82,2,14x16x8 cm,30-07-2023,01-01-2024,CVEIA7,"A57,B02",Blue/Medium,4
6ZSWYN5B,Smartphone,Home Appliances,Product_ZY7HE,10.94,70,2,15x13x10 cm,30-07-2023,01-01-2026,UW9G8A,"BYX,BBQ",Red/Small,5
